,epoch,train_loss,val_loss
0,1,0.007709635133328645,0.008953839154756687
1,2,0.007054182923520389,0.009257651814729057
2,3,0.006873533735456674,0.008997288078313303
3,4,0.0071334919511624,0.009577714703591382
4,5,0.006808874103362146,0.00921574066969127
5,6,0.006938270599297855,0.009988513153442244
6,7,0.006609399760060984,0.009249807754150853
7,8,0.006592948117657848,0.00915563698320038
8,9,0.006580381406390149,0.009233783098186394
9,10,0.006436351078521947,0.00952045015523804
10,11,0.00682143720595733,0.011867818749974144
11,12,0.006578369633011196,0.010703011514867683
12,13,0.006269859448075295,0.010625655526848516
13,14,0.006797798082394444,0.010436724445069519
14,15,0.006430926785358916,0.011309452456414537
15,16,0.00642737436229768,0.010347684078953897
16,17,0.006337012215315,0.011677999897004798
17,18,0.006414949308432963,0.010149389952015163
18,19,0.006005642805248499,0.012633571639778829
19,20,0.006182697958758344,0.01049372508147432
20,21,0.0062786905767153135,0.013272653727180627
21,22,0.006084550948732573,0.010179544400616627
22,23,0.006002980170204587,0.010797708556665063
23,24,0.005645476875259825,0.011511422409511068
24,25,0.00575025178735023,0.01029071185423178
25,26,0.005573109161594639,0.010091299180966632
26,27,0.006009963758937691,0.013434460208997415
27,28,0.008139844194216572,0.012814280853609299
28,29,0.00713155106762829,0.01098862314236424
29,30,0.006110120382483887,0.010127299477927367
30,31,0.005430035147330035,0.010986032060852493
31,32,0.005348121986279021,0.010341648925958602
32,33,0.006424036610709585,0.011786856503309606
33,34,0.006010504937528268,0.010241671995708988
34,35,0.005840487474494655,0.010477226400083027
35,36,0.00554856499819004,0.011656036098013132
36,37,0.0054984483325287055,0.011256329903039037
37,38,0.006038361227382784,0.012869861474316516
38,39,0.006287772199543922,0.012965835671496326
39,40,0.00610785693983021,0.011986054693239587
40,41,0.005817314571012621,0.011161017325536756
41,42,0.006419035130706818,0.011263533025898791
42,43,0.006751605065782433,0.010796270604760511
43,44,0.005799088488616373,0.011160468322298507
44,45,0.006329815087273069,0.012396444528482915
45,46,0.005857901871204376,0.01631631983357814
46,47,0.005548424248624107,0.011262508104136594
47,48,0.005966147100957839,0.011595847942848621
48,49,0.005305159655602082,0.0111901836028216
49,50,0.007408584376554127,0.015644010379707456
